Sales_Person,Country,Product,Date,Amount,Boxes_Shipped,Year,Month,Day,Day_Name,Day_of_Week,Week,Quarter,Weekend,Revenue_per_Box,Product_ID,Country_ID,Salesperson_ID,Lag_1,Lag_7,Rolling_7,Rolling_30
Camilla Castle,Australia,99% Dark & Pure,2022-01-18,4669,101,2022,1,18,Tuesday,1,3,1,0,46.227722772277225,3,0,4,128.0,0.0,0.0,0.0
Oby Sorrel,UK,99% Dark & Pure,2022-01-25,13685,176,2022,1,25,Tuesday,1,4,1,0,77.75568181818181,3,4,20,101.0,0.0,169.14285714285714,0.0
Madelene Upcott,UK,99% Dark & Pure,2022-01-26,10479,45,2022,1,26,Wednesday,2,4,1,0,232.86666666666667,3,4,17,176.0,282.0,135.28571428571428,0.0
Karlen McCaffrey,Australia,99% Dark & Pure,2022-01-26,10822,168,2022,1,26,Wednesday,2,4,1,0,64.41666666666667,3,0,15,45.0,219.0,128.0,0.0
Van Tuxwell,UK,99% Dark & Pure,2022-01-31,4725,137,2022,1,31,Monday,0,5,1,0,34.48905109489051,3,4,23,168.0,84.0,135.57142857142858,0.0
Dennison Crosswaite,Australia,99% Dark & Pure,2022-01-31,2758,18,2022,1,31,Monday,0,5,1,0,153.22222222222223,3,0,7,137.0,194.0,110.42857142857143,0.0
Ches Bonnell,India,99% Dark & Pure,2022-02-16,455,96,2022,2,16,Wednesday,2,7,1,0,4.739583333333333,3,2,5,18.0,128.0,105.85714285714286,0.0
Husein Augar,USA,99% Dark & Pure,2022-02-21,9534,111,2022,2,21,Monday,0,8,1,0,85.89189189189189,3,5,11,96.0,101.0,107.28571428571429,0.0
Jehu Rudeforth,India,99% Dark & Pure,2022-02-25,1953,242,2022,2,25,Friday,4,8,1,0,8.070247933884298,3,2,13,111.0,176.0,116.71428571428571,0.0
Jehu Rudeforth,Australia,99% Dark & Pure,2022-02-25,10486,198,2022,2,25,Friday,4,8,1,0,52.95959595959596,3,0,13,242.0,45.0,138.57142857142858,0.0
Rafaelita Blaksland,Canada,99% Dark & Pure,2022-03-02,5096,142,2022,3,2,Wednesday,2,9,1,0,35.88732394366197,3,1,21,198.0,168.0,134.85714285714286,0.0
Gunar Cockshoot,UK,99% Dark & Pure,2022-03-07,7,84,2022,3,7,Monday,0,10,1,0,0.08333333333333333,3,4,10,142.0,137.0,127.28571428571429,0.0
Rafaelita Blaksland,New Zealand,99% Dark & Pure,2022-03-25,3164,84,2022,3,25,Friday,4,12,1,0,37.666666666666664,3,3,21,84.0,18.0,136.71428571428572,0.0
Marney O'Breen,USA,99% Dark & Pure,2022-03-28,4151,296,2022,3,28,Monday,0,13,1,0,14.02364864864865,3,5,19,84.0,96.0,165.28571428571428,0.0
Roddy Speechley,New Zealand,99% Dark & Pure,2022-04-18,7483,183,2022,4,18,Monday,0,16,2,0,40.89071038251366,3,3,22,296.0,111.0,175.57142857142858,0.0
Dotty Strutley,New Zealand,99% Dark & Pure,2022-05-09,10724,203,2022,5,9,Monday,0,19,2,0,52.827586206896555,3,3,8,183.0,242.0,170.0,0.0
Brien Boise,Canada,99% Dark & Pure,2022-05-18,16793,416,2022,5,18,Wednesday,2,20,2,0,40.36778846153846,3,1,3,203.0,198.0,201.14285714285714,0.0
Jan Morforth,India,99% Dark & Pure,2022-05-23,9100,187,2022,5,23,Monday,0,21,2,0,48.663101604278076,3,2,12,416.0,142.0,207.57142857142858,0.0
Barr Faughny,New Zealand,99% Dark & Pure,2022-05-24,8134,195,2022,5,24,Tuesday,1,21,2,0,41.712820512820514,3,3,1,187.0,84.0,223.42857142857142,0.0
Oby Sorrel,India,99% Dark & Pure,2022-05-27,10255,11,2022,5,27,Friday,4,21,2,0,932.2727272727273,3,2,20,195.0,84.0,213.0,0.0
Dennison Crosswaite,UK,99% Dark & Pure,2022-05-30,12187,27,2022,5,30,Monday,0,22,2,0,451.3703703703704,3,4,7,11.0,296.0,174.57142857142858,0.0
Gigi Bohling,USA,99% Dark & Pure,2022-06-02,784,249,2022,6,2,Thursday,3,22,2,0,3.1485943775100402,3,5,9,27.0,183.0,184.0,0.0
Dennison Crosswaite,India,99% Dark & Pure,2022-06-23,6888,311,2022,6,23,Thursday,3,25,2,0,22.14790996784566,3,2,7,249.0,203.0,199.42857142857142,0.0
Kaine Padly,Canada,99% Dark & Pure,2022-06-24,1288,409,2022,6,24,Friday,4,25,2,0,3.1491442542787285,3,1,14,311.0,416.0,198.42857142857142,0.0
Kelci Walkden,India,99% Dark & Pure,2022-06-28,2303,244,2022,6,28,Tuesday,1,26,2,0,9.438524590163935,3,2,16,409.0,187.0,206.57142857142858,174.66666666666666
Rafaelita Blaksland,UK,99% Dark & Pure,2022-06-29,12446,150,2022,6,29,Wednesday,2,26,2,0,82.97333333333333,3,4,21,244.0,195.0,200.14285714285714,170.26666666666668
Kelci Walkden,Australia,99% Dark & Pure,2022-06-30,3185,34,2022,6,30,Thursday,3,26,2,0,93.67647058823529,3,0,16,150.0,11.0,203.42857142857142,164.1
Brien Boise,Australia,99% Dark & Pure,2022-07-04,2835,102,2022,7,4,Monday,0,27,3,0,27.794117647058822,3,0,3,34.0,27.0,214.14285714285714,164.7
Curtice Advani,Canada,99% Dark & Pure,2022-07-07,12586,7,2022,7,7,Thursday,3,27,3,0,1798.0,3,1,6,102.0,249.0,179.57142857142858,158.46666666666667
Marney O'Breen,India,99% Dark & Pure,2022-07-22,10766,157,2022,7,22,Friday,4,29,3,0,68.5732484076433,3,2,19,7.0,311.0,157.57142857142858,159.43333333333334
Brien Boise,USA,99% Dark & Pure,2022-07-25,6769,353,2022,7,25,Monday,0,30,3,0,19.175637393767705,3,5,3,157.0,409.0,149.57142857142858,167.83333333333334
Andria Kimpton,UK,99% Dark & Pure,2022-07-25,1155,66,2022,7,25,Monday,0,30,3,0,17.5,3,4,0,353.0,244.0,124.14285714285714,164.16666666666666
Van Tuxwell,USA,99% Dark & Pure,2022-07-28,12586,6,2022,7,28,Thursday,3,30,3,0,2097.6666666666665,3,5,23,66.0,150.0,103.57142857142857,162.86666666666667
Oby Sorrel,Canada,99% Dark & Pure,2022-08-01,3605,403,2022,8,1,Monday,0,31,3,0,8.945409429280398,3,1,20,6.0,34.0,156.28571428571428,170.7
Madelene Upcott,Australia,99% Dark & Pure,2022-08-01,4326,154,2022,8,1,Monday,0,31,3,0,28.09090909090909,3,0,17,403.0,102.0,163.71428571428572,171.26666666666668
Camilla Castle,India,99% Dark & Pure,2022-08-02,203,207,2022,8,2,Tuesday,1,31,3,0,0.9806763285024155,3,2,4,154.0,7.0,192.28571428571428,177.56666666666666
Dotty Strutley,USA,99% Dark & Pure,2022-08-09,3822,320,2022,8,9,Tuesday,1,32,3,0,11.94375,3,5,8,207.0,157.0,215.57142857142858,185.03333333333333
Beverie Moffet,UK,99% Dark & Pure,2022-08-10,3486,121,2022,8,10,Wednesday,2,32,3,0,28.8099173553719,3,4,2,320.0,353.0,182.42857142857142,185.36666666666667
Kelci Walkden,UK,99% Dark & Pure,2022-08-12,3507,114,2022,8,12,Friday,4,32,3,0,30.763157894736842,3,4,16,121.0,66.0,189.28571428571428,181.1
Kelci Walkden,Canada,99% Dark & Pure,2022-08-15,4830,50,2022,8,15,Monday,0,33,3,0,96.6,3,1,16,114.0,6.0,195.57142857142858,176.16666666666666
Kelci Walkden,USA,99% Dark & Pure,2022-08-18,7714,238,2022,8,18,Thursday,3,33,3,0,32.411764705882355,3,5,16,50.0,403.0,172.0,179.36666666666667
Gunar Cockshoot,Australia,99% Dark & Pure,2022-08-18,7952,235,2022,8,18,Thursday,3,33,3,0,33.838297872340426,3,0,10,238.0,154.0,183.57142857142858,184.4
Husein Augar,Australia,99% Dark & Pure,2022-08-26,3087,128,2022,8,26,Friday,4,34,3,0,24.1171875,3,0,11,235.0,207.0,172.28571428571428,185.86666666666667
Camilla Castle,New Zealand,99% Dark & Pure,2022-08-26,2268,42,2022,8,26,Friday,4,34,3,0,54.0,3,3,4,128.0,320.0,132.57142857142858,177.4
Kelci Walkden,India,After Nines,2022-01-07,1687,520,2022,1,7,Friday,4,1,1,0,3.2442307692307693,4,2,16,0.0,0.0,0.0,0.0
Kelci Walkden,Canada,After Nines,2022-01-13,16702,198,2022,1,13,Thursday,3,2,1,0,84.35353535353535,4,1,16,520.0,0.0,0.0,0.0
Gigi Bohling,USA,After Nines,2022-01-14,1848,227,2022,1,14,Friday,4,2,1,0,8.140969162995594,4,5,9,198.0,0.0,0.0,0.0
Dotty Strutley,Canada,After Nines,2022-01-17,252,237,2022,1,17,Monday,0,3,1,0,1.0632911392405062,4,1,8,227.0,0.0,0.0,0.0
Andria Kimpton,India,After Nines,2022-01-17,952,68,2022,1,17,Monday,0,3,1,0,14.0,4,2,0,237.0,0.0,0.0,0.0
Husein Augar,Canada,After Nines,2022-01-19,9772,301,2022,1,19,Wednesday,2,3,1,0,32.46511627906977,4,1,11,68.0,0.0,0.0,0.0
Gigi Bohling,New Zealand,After Nines,2022-01-21,5600,181,2022,1,21,Friday,4,3,1,0,30.939226519337016,4,3,9,301.0,0.0,247.42857142857142,0.0
Kaine Padly,UK,After Nines,2022-01-21,18697,176,2022,1,21,Friday,4,3,1,0,106.23295454545455,4,4,14,181.0,520.0,198.28571428571428,0.0
Jehu Rudeforth,Australia,After Nines,2022-02-14,5250,47,2022,2,14,Monday,0,7,1,0,111.70212765957447,4,0,13,176.0,198.0,176.71428571428572,0.0
Kelci Walkden,Australia,After Nines,2022-03-02,6916,288,2022,3,2,Wednesday,2,9,1,0,24.01388888888889,4,0,16,47.0,227.0,185.42857142857142,0.0
Rafaelita Blaksland,India,After Nines,2022-03-02,4739,204,2022,3,2,Wednesday,2,9,1,0,23.230392156862745,4,2,21,288.0,237.0,180.71428571428572,0.0
Marney O'Breen,New Zealand,After Nines,2022-03-09,1561,44,2022,3,9,Wednesday,2,10,1,0,35.47727272727273,4,3,19,204.0,68.0,177.28571428571428,0.0
Jan Morforth,India,After Nines,2022-03-14,6496,168,2022,3,14,Monday,0,11,1,0,38.666666666666664,4,2,12,44.0,301.0,158.28571428571428,0.0
Madelene Upcott,USA,After Nines,2022-03-15,4571,430,2022,3,15,Tuesday,1,11,1,0,10.630232558139534,4,5,17,168.0,181.0,193.85714285714286,0.0
Gunar Cockshoot,Australia,After Nines,2022-03-24,3080,73,2022,3,24,Thursday,3,12,1,0,42.19178082191781,4,0,10,430.0,176.0,179.14285714285714,0.0
Gigi Bohling,UK,After Nines,2022-03-29,8029,175,2022,3,29,Tuesday,1,13,1,0,45.88,4,4,9,73.0,47.0,197.42857142857142,0.0
Curtice Advani,New Zealand,After Nines,2022-04-05,7959,30,2022,4,5,Tuesday,1,14,2,0,265.3,4,3,6,175.0,288.0,160.57142857142858,0.0
Husein Augar,USA,After Nines,2022-04-08,11571,180,2022,4,8,Friday,4,14,2,0,64.28333333333333,4,5,11,30.0,204.0,157.14285714285714,0.0
Kaine Padly,Australia,After Nines,2022-04-08,6832,306,2022,4,8,Friday,4,14,2,0,22.326797385620914,4,0,14,180.0,44.0,194.57142857142858,0.0
Curtice Advani,USA,After Nines,2022-04-13,14147,235,2022,4,13,Wednesday,2,15,2,0,60.2,4,5,6,306.0,168.0,204.14285714285714,0.0
Jehu Rudeforth,New Zealand,After Nines,2022-04-14,1512,73,2022,4,14,Thursday,3,15,2,0,20.71232876712329,4,3,13,235.0,430.0,153.14285714285714,0.0
Barr Faughny,New Zealand,After Nines,2022-04-19,10024,84,2022,4,19,Tuesday,1,16,2,0,119.33333333333333,4,3,1,73.0,73.0,154.71428571428572,0.0
Wilone O'Kielt,USA,After Nines,2022-04-25,392,30,2022,4,25,Monday,0,17,2,0,13.066666666666666,4,5,24,84.0,175.0,134.0,0.0
Mallorie Waber,New Zealand,After Nines,2022-05-04,483,228,2022,5,4,Wednesday,2,18,2,0,2.1184210526315788,4,3,18,30.0,30.0,162.28571428571428,0.0
Andria Kimpton,Canada,After Nines,2022-05-11,2163,70,2022,5,11,Wednesday,2,19,2,0,30.9,4,1,0,228.0,180.0,146.57142857142858,0.0
Roddy Speechley,New Zealand,After Nines,2022-05-25,8001,10,2022,5,25,Wednesday,2,21,2,0,800.1,4,3,22,70.0,306.0,104.28571428571429,0.0
Wilone O'Kielt,Australia,After Nines,2022-05-27,3325,26,2022,5,27,Friday,4,21,2,0,127.88461538461539,4,0,24,10.0,235.0,74.42857142857143,0.0
Marney O'Breen,USA,After Nines,2022-05-30,4753,163,2022,5,30,Monday,0,22,2,0,29.15950920245399,4,5,19,26.0,73.0,87.28571428571429,0.0
Kelci Walkden,USA,After Nines,2022-06-02,938,16,2022,6,2,Thursday,3,22,2,0,58.625,4,5,16,163.0,84.0,77.57142857142857,0.0
Brien Boise,India,After Nines,2022-06-16,5747,45,2022,6,16,Thursday,3,24,2,0,127.71111111111111,4,2,3,16.0,30.0,79.71428571428571,161.1
Roddy Speechley,India,After Nines,2022-06-22,2576,112,2022,6,22,Wednesday,2,25,2,0,23.0,4,2,22,45.0,228.0,63.142857142857146,147.5
Ches Bonnell,New Zealand,After Nines,2022-06-23,5705,350,2022,6,23,Thursday,3,25,2,0,16.3,4,3,5,112.0,70.0,103.14285714285714,152.56666666666666
Jehu Rudeforth,UK,After Nines,2022-06-27,1946,164,2022,6,27,Monday,0,26,2,0,11.865853658536585,4,4,13,350.0,10.0,125.14285714285714,150.46666666666667
Van Tuxwell,India,After Nines,2022-06-27,13706,207,2022,6,27,Monday,0,26,2,0,66.21256038647343,4,2,23,164.0,26.0,151.0,149.46666666666667
Husein Augar,UK,After Nines,2022-07-05,3507,380,2022,7,5,Tuesday,1,27,3,0,9.228947368421053,4,4,11,207.0,163.0,182.0,159.86666666666667
Kelci Walkden,New Zealand,After Nines,2022-07-07,147,72,2022,7,7,Thursday,3,27,3,0,2.0416666666666665,4,3,16,380.0,16.0,190.0,152.23333333333332
Rafaelita Blaksland,New Zealand,After Nines,2022-07-07,1099,92,2022,7,7,Thursday,3,27,3,0,11.945652173913043,4,3,21,72.0,45.0,196.71428571428572,149.26666666666668
Marney O'Breen,India,After Nines,2022-07-11,2639,179,2022,7,11,Monday,0,28,3,0,14.743016759776536,4,2,19,92.0,112.0,206.28571428571428,149.36666666666667
Jan Morforth,Canada,After Nines,2022-07-13,4515,172,2022,7,13,Wednesday,2,28,3,0,26.25,4,1,12,179.0,350.0,180.85714285714286,153.53333333333333
Oby Sorrel,UK,After Nines,2022-07-18,2345,104,2022,7,18,Monday,0,29,3,0,22.548076923076923,4,4,20,172.0,164.0,172.28571428571428,147.4
Van Tuxwell,USA,After Nines,2022-07-26,630,264,2022,7,26,Tuesday,1,30,3,0,2.3863636363636362,4,5,23,104.0,207.0,180.42857142857142,149.4
Barr Faughny,India,After Nines,2022-07-29,8190,109,2022,7,29,Friday,4,30,3,0,75.13761467889908,4,2,1,264.0,380.0,141.71428571428572,151.56666666666666
Gunar Cockshoot,Canada,After Nines,2022-08-04,2744,200,2022,8,4,Thursday,3,31,3,0,13.72,4,1,10,109.0,72.0,160.0,152.63333333333333
Husein Augar,New Zealand,After Nines,2022-08-04,6433,7,2022,8,4,Thursday,3,31,3,0,919.0,4,3,11,200.0,92.0,147.85714285714286,138.53333333333333
Wilone O'Kielt,India,After Nines,2022-08-04,12026,262,2022,8,4,Thursday,3,31,3,0,45.900763358778626,4,2,24,7.0,179.0,159.71428571428572,144.83333333333334
Gunar Cockshoot,New Zealand,After Nines,2022-08-09,7175,145,2022,8,9,Tuesday,1,32,3,0,49.48275862068966,4,3,10,262.0,172.0,155.85714285714286,143.83333333333334
Karlen McCaffrey,Australia,After Nines,2022-08-11,2303,67,2022,8,11,Thursday,3,32,3,0,34.37313432835821,4,0,15,145.0,104.0,150.57142857142858,145.06666666666666
Curtice Advani,Australia,After Nines,2022-08-11,63,105,2022,8,11,Thursday,3,32,3,0,0.6,4,0,6,67.0,264.0,127.85714285714286,142.56666666666666
Gunar Cockshoot,USA,After Nines,2022-08-15,3738,261,2022,8,15,Monday,0,33,3,0,14.32183908045977,4,5,10,105.0,109.0,149.57142857142858,141.06666666666666
Kaine Padly,Canada,After Nines,2022-08-22,5845,172,2022,8,22,Monday,0,34,3,0,33.98255813953488,4,1,14,261.0,200.0,145.57142857142858,138.96666666666667
Gunar Cockshoot,New Zealand,Almond Choco,2022-01-05,5173,129,2022,1,5,Wednesday,2,1,1,0,40.10077519379845,5,3,10,0.0,0.0,0.0,0.0
Gigi Bohling,UK,Almond Choco,2022-01-10,5642,9,2022,1,10,Monday,0,2,1,0,626.8888888888889,5,4,9,129.0,0.0,0.0,0.0
Barr Faughny,New Zealand,Almond Choco,2022-01-13,5558,127,2022,1,13,Thursday,3,2,1,0,43.76377952755905,5,3,1,9.0,0.0,0.0,0.0
Brien Boise,India,Almond Choco,2022-01-13,2170,218,2022,1,13,Thursday,3,2,1,0,9.954128440366972,5,2,3,127.0,0.0,0.0,0.0
Gunar Cockshoot,Australia,Almond Choco,2022-01-25,3752,424,2022,1,25,Tuesday,1,4,1,0,8.849056603773585,5,0,10,218.0,0.0,0.0,0.0
Kelci Walkden,USA,Almond Choco,2022-01-27,5180,233,2022,1,27,Thursday,3,4,1,0,22.23175965665236,5,5,16,424.0,0.0,0.0,0.0
Mallorie Waber,USA,Almond Choco,2022-01-28,6986,368,2022,1,28,Friday,4,4,1,0,18.983695652173914,5,5,18,233.0,0.0,215.42857142857142,0.0
Gigi Bohling,Canada,Almond Choco,2022-02-01,9989,49,2022,2,1,Tuesday,1,5,1,0,203.85714285714286,5,1,9,368.0,129.0,204.0,0.0
Barr Faughny,USA,Almond Choco,2022-02-03,385,78,2022,2,3,Thursday,3,5,1,0,4.935897435897436,5,5,1,49.0,9.0,213.85714285714286,0.0
Oby Sorrel,Australia,Almond Choco,2022-02-15,6034,223,2022,2,15,Tuesday,1,7,1,0,27.05829596412556,5,0,20,78.0,127.0,227.57142857142858,0.0
Kaine Padly,Australia,Almond Choco,2022-02-22,4102,392,2022,2,22,Tuesday,1,8,1,0,10.464285714285714,5,0,14,223.0,218.0,252.42857142857142,0.0
Marney O'Breen,USA,Almond Choco,2022-02-25,7798,167,2022,2,25,Friday,4,8,1,0,46.69461077844311,5,5,19,392.0,424.0,215.71428571428572,0.0
Jan Morforth,India,Almond Choco,2022-03-11,4466,22,2022,3,11,Friday,4,10,1,0,203.0,5,2,12,167.0,233.0,185.57142857142858,0.0
Kelci Walkden,India,Almond Choco,2022-03-14,3297,149,2022,3,14,Monday,0,11,1,0,22.12751677852349,5,2,16,22.0,368.0,154.28571428571428,0.0
Wilone O'Kielt,New Zealand,Almond Choco,2022-03-15,9198,144,2022,3,15,Tuesday,1,11,1,0,63.875,5,3,24,149.0,49.0,167.85714285714286,0.0
Curtice Advani,Canada,Almond Choco,2022-03-24,4865,70,2022,3,24,Thursday,3,12,1,0,69.5,5,1,6,144.0,78.0,166.71428571428572,0.0
Roddy Speechley,New Zealand,Almond Choco,2022-03-28,2723,67,2022,3,28,Monday,0,13,1,0,40.64179104477612,5,3,22,70.0,223.0,144.42857142857142,0.0
Andria Kimpton,New Zealand,Almond Choco,2022-04-05,6559,158,2022,4,5,Tuesday,1,14,2,0,41.5126582278481,5,3,0,67.0,392.0,111.0,0.0
Brien Boise,Canada,Almond Choco,2022-04-13,4781,125,2022,4,13,Wednesday,2,15,2,0,38.248,5,1,3,158.0,167.0,105.0,0.0
Ches Bonnell,India,Almond Choco,2022-04-13,11788,73,2022,4,13,Wednesday,2,15,2,0,161.4794520547945,5,2,5,125.0,22.0,112.28571428571429,0.0
Andria Kimpton,Australia,Almond Choco,2022-04-25,3192,175,2022,4,25,Monday,0,17,2,0,18.24,5,0,0,73.0,149.0,116.0,0.0
Mallorie Waber,Canada,Almond Choco,2022-05-12,4214,35,2022,5,12,Thursday,3,19,2,0,120.4,5,1,18,175.0,144.0,100.42857142857143,0.0
Dotty Strutley,Australia,Almond Choco,2022-05-13,1456,91,2022,5,13,Friday,4,19,2,0,16.0,5,0,8,35.0,70.0,103.42857142857143,0.0
Beverie Moffet,UK,Almond Choco,2022-05-16,2506,100,2022,5,16,Monday,0,20,2,0,25.06,5,4,2,91.0,67.0,108.14285714285714,0.0
Husein Augar,UK,Almond Choco,2022-05-17,8309,166,2022,5,17,Tuesday,1,20,2,0,50.05421686746988,5,4,11,100.0,158.0,109.28571428571429,0.0
Oby Sorrel,USA,Almond Choco,2022-05-19,6440,141,2022,5,19,Thursday,3,20,2,0,45.673758865248224,5,5,20,166.0,125.0,111.57142857142857,0.0
Beverie Moffet,India,Almond Choco,2022-05-24,3066,96,2022,5,24,Tuesday,1,21,2,0,31.9375,5,2,2,141.0,73.0,114.85714285714286,0.0
Brien Boise,UK,Almond Choco,2022-05-25,105,125,2022,5,25,Wednesday,2,21,2,0,0.84,5,4,3,96.0,175.0,107.71428571428571,0.0
Kelci Walkden,Australia,Almond Choco,2022-05-30,4879,350,2022,5,30,Monday,0,22,2,0,13.94,5,0,16,125.0,35.0,152.71428571428572,0.0
Madelene Upcott,USA,Almond Choco,2022-05-31,10143,24,2022,5,31,Tuesday,1,22,2,0,422.625,5,5,17,350.0,91.0,143.14285714285714,150.93333333333334
Van Tuxwell,UK,Almond Choco,2022-06-06,10689,204,2022,6,6,Monday,0,23,2,0,52.39705882352941,5,4,23,24.0,100.0,158.0,153.43333333333334
Van Tuxwell,India,Almond Choco,2022-06-14,6426,390,2022,6,14,Tuesday,1,24,2,0,16.476923076923075,5,2,23,204.0,166.0,190.0,166.13333333333333
Roddy Speechley,Australia,Almond Choco,2022-06-24,4466,74,2022,6,24,Friday,4,25,2,0,60.351351351351354,5,0,22,390.0,141.0,180.42857142857142,164.36666666666667
Van Tuxwell,Canada,Almond Choco,2022-06-27,3213,72,2022,6,27,Monday,0,26,2,0,44.625,5,1,23,74.0,96.0,177.0,159.5
Karlen McCaffrey,UK,Almond Choco,2022-06-30,6839,133,2022,6,30,Thursday,3,26,2,0,51.421052631578945,5,4,15,72.0,125.0,178.14285714285714,149.8
Dennison Crosswaite,USA,Almond Choco,2022-06-30,11718,84,2022,6,30,Thursday,3,26,2,0,139.5,5,5,7,133.0,350.0,140.14285714285714,144.83333333333334
Karlen McCaffrey,India,Almond Choco,2022-07-06,6090,149,2022,7,6,Wednesday,2,27,3,0,40.87248322147651,5,2,15,84.0,24.0,158.0,137.53333333333333
Jan Morforth,UK,Almond Choco,2022-07-06,9744,157,2022,7,6,Wednesday,2,27,3,0,62.06369426751592,5,4,12,149.0,204.0,151.28571428571428,141.13333333333333
Karlen McCaffrey,Australia,Almond Choco,2022-07-08,7294,128,2022,7,8,Friday,4,27,3,0,56.984375,5,0,15,157.0,390.0,113.85714285714286,142.8
Curtice Advani,Australia,Almond Choco,2022-07-13,2912,75,2022,7,13,Wednesday,2,28,3,0,38.82666666666667,5,0,6,128.0,74.0,114.0,137.86666666666667
Rafaelita Blaksland,India,Almond Choco,2022-07-27,3395,99,2022,7,27,Wednesday,2,30,3,0,34.292929292929294,5,2,21,75.0,72.0,117.85714285714286,128.1
Dotty Strutley,UK,Almond Choco,2022-07-28,16114,96,2022,7,28,Thursday,3,30,3,0,167.85416666666666,5,4,8,99.0,133.0,112.57142857142857,125.73333333333333
Gunar Cockshoot,Canada,Almond Choco,2022-07-28,1309,30,2022,7,28,Thursday,3,30,3,0,43.63333333333333,5,1,10,96.0,84.0,104.85714285714286,126.0
Mallorie Waber,Australia,Almond Choco,2022-08-01,7882,125,2022,8,1,Monday,0,31,3,0,63.056,5,0,18,30.0,149.0,101.42857142857143,125.2
Kaine Padly,Canada,Almond Choco,2022-08-12,6055,73,2022,8,12,Friday,4,32,3,0,82.94520547945206,5,1,14,125.0,157.0,89.42857142857143,122.83333333333333
Gigi Bohling,Australia,Almond Choco,2022-08-17,910,117,2022,8,17,Wednesday,2,33,3,0,7.777777777777778,5,0,9,73.0,128.0,87.85714285714286,124.4
Madelene Upcott,Canada,Almond Choco,2022-08-22,7602,102,2022,8,22,Monday,0,34,3,0,74.52941176470588,5,1,17,117.0,75.0,91.71428571428571,125.56666666666666
Jehu Rudeforth,India,Almond Choco,2022-08-30,10122,100,2022,8,30,Tuesday,1,35,3,0,101.22,5,2,13,102.0,99.0,91.85714285714286,123.63333333333334
Brien Boise,Australia,Baker's Choco Chips,2022-01-04,12516,212,2022,1,4,Tuesday,1,1,1,0,59.0377358490566,6,0,3,0.0,0.0,0.0,0.0
Beverie Moffet,Canada,Baker's Choco Chips,2022-01-11,13447,95,2022,1,11,Tuesday,1,2,1,0,141.54736842105262,6,1,2,212.0,0.0,0.0,0.0
Dennison Crosswaite,Australia,Baker's Choco Chips,2022-01-11,13846,421,2022,1,11,Tuesday,1,2,1,0,32.888361045130644,6,0,7,95.0,0.0,0.0,0.0
Marney O'Breen,Australia,Baker's Choco Chips,2022-01-13,5810,101,2022,1,13,Thursday,3,2,1,0,57.524752475247524,6,0,19,421.0,0.0,0.0,0.0
Dennison Crosswaite,UK,Baker's Choco Chips,2022-01-17,2275,275,2022,1,17,Monday,0,3,1,0,8.272727272727273,6,4,7,101.0,0.0,0.0,0.0
Wilone O'Kielt,Australia,Baker's Choco Chips,2022-01-25,2961,154,2022,1,25,Tuesday,1,4,1,0,19.227272727272727,6,0,24,275.0,0.0,0.0,0.0
Marney O'Breen,USA,Baker's Choco Chips,2022-01-26,8470,9,2022,1,26,Wednesday,2,4,1,0,941.1111111111111,6,5,19,154.0,0.0,181.0,0.0
Gigi Bohling,Canada,Baker's Choco Chips,2022-01-28,1505,47,2022,1,28,Friday,4,4,1,0,32.02127659574468,6,1,9,9.0,212.0,157.42857142857142,0.0
Barr Faughny,Canada,Baker's Choco Chips,2022-02-03,10969,170,2022,2,3,Thursday,3,5,1,0,64.52352941176471,6,1,1,47.0,95.0,168.14285714285714,0.0
Karlen McCaffrey,UK,Baker's Choco Chips,2022-02-07,4753,389,2022,2,7,Monday,0,6,1,0,12.218508997429305,6,4,15,170.0,421.0,163.57142857142858,0.0
Roddy Speechley,New Zealand,Baker's Choco Chips,2022-02-22,5313,215,2022,2,22,Tuesday,1,8,1,0,24.711627906976744,6,3,22,389.0,101.0,179.85714285714286,0.0
Jan Morforth,UK,Baker's Choco Chips,2022-03-11,721,251,2022,3,11,Friday,4,10,1,0,2.8725099601593627,6,4,12,215.0,275.0,176.42857142857142,0.0
Gunar Cockshoot,India,Baker's Choco Chips,2022-03-18,2191,524,2022,3,18,Friday,4,11,1,0,4.181297709923665,6,2,10,251.0,154.0,229.28571428571428,0.0
Ches Bonnell,Canada,Baker's Choco Chips,2022-03-21,7462,371,2022,3,21,Monday,0,12,1,0,20.11320754716981,6,1,5,524.0,9.0,281.0,0.0
Van Tuxwell,New Zealand,Baker's Choco Chips,2022-03-22,9660,24,2022,3,22,Tuesday,1,12,1,0,402.5,6,3,23,371.0,47.0,277.7142857142857,0.0
Van Tuxwell,UK,Baker's Choco Chips,2022-03-24,2443,20,2022,3,24,Thursday,3,12,1,0,122.15,6,4,23,24.0,170.0,256.2857142857143,0.0
Roddy Speechley,UK,Baker's Choco Chips,2022-04-04,14028,351,2022,4,4,Monday,0,14,2,0,39.965811965811966,6,4,22,20.0,389.0,250.85714285714286,0.0
Karlen McCaffrey,New Zealand,Baker's Choco Chips,2022-04-05,5012,189,2022,4,5,Tuesday,1,14,2,0,26.51851851851852,6,3,15,351.0,215.0,247.14285714285714,0.0
Wilone O'Kielt,New Zealand,Baker's Choco Chips,2022-04-22,3836,59,2022,4,22,Friday,4,16,2,0,65.01694915254237,6,3,24,189.0,251.0,219.71428571428572,0.0
Oby Sorrel,New Zealand,Baker's Choco Chips,2022-04-25,11823,47,2022,4,25,Monday,0,17,2,0,251.5531914893617,6,3,20,59.0,524.0,151.57142857142858,0.0
